_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
640499,缉枪,动作 犯罪 剧情 警匪,106,2017/6/23,0,2D,中国,天天影业 环球联影 顶峰时代,16500000,15000,2110000,5130000,3010000
665899,我不做大哥好多年,喜剧 爱情,93,2017/6/23,0,2D,中国台湾,中影,7700000,13000,2450000,5340000,2870000
640505,逆时营救,科幻 动作 悬疑,106,2017/6/29,0,3D 2D,中国,耀影发行 娱跃影业 微影时代...,201000000,116000,18000000,119000000,67300000
617733,反转人生,喜剧 奇幻,110,2017/6/29,0,2D,中国,安乐影业 联瑞影业,69500000,1990000,8160000,46800000,22200000
661453,血战湘江,战争 主旋律,118,2017/6/30,0,2D,中国,中影 北京亚细亚 上影发行...,73700000,1380000,4550000,14000000,8290000
658903,仙球大战,喜剧 古装 运动,84,2017/6/30,0,2D,中国,安石英纳发行（江苏） 华夏 星皓东方...,9820000,2000,3810000,7030000,3220000
642915,明月几时有,剧情 战争 文艺,131,2017/7/1,0,2D,中国/中国香港,上海博纳 华夏,62900000,238000,19200000,33800000,33500000
630017,京城81号2,惊悚 悬疑 恐怖,98,2017/7/6,1,3D 2D,中国,恒业影业（北京） 华夏,219000000,20000,41300000,141000000,63400000
661098,与君相恋100次,爱情 奇幻,116,2017/7/6,0,2D,日本,中影,13500000,9000,3820000,9120000,3750000
644666,神偷奶爸3,动画 喜剧,90,2017/7/7,1,3D IMAX,美国,中影,1040000000,5530000,138000000,444000000,303000000
641878,绝世高手,喜剧 动作,116,2017/7/7,0,2D,中国,华谊兄弟电影 华谊兄弟电影发行 华影天下（天津）...,101000000,10900000,23400000,67000000,38200000
640770,秘果,爱情 青春,99,2017/7/7,0,2D,中国,青春光线 华夏,7960000,137000,2780000,5810000,2930000
663007,青禾男高,爱情 动作 喜剧,98,2017/7/12,0,2D,中国/中国台湾,阿里巴巴影业 联瑞影业 和和影业...,30400000,1100000,6810000,25000000,6860000
629524,悟空传,奇幻 动作,123,2017/7/13,0,3D IMAX,中国,新丽电影发行 磨铁娱乐 三次元影业...,697000000,6770000,108000000,402000000,201000000
641954,大护法,动画 奇幻 武侠,93,2017/7/13,0,3D,中国,猫眼文化 华夏,87600000,286000,7300000,33200000,20800000
643813,喵星人,奇幻 喜剧,109,2017/7/14,0,2D,中国/中国香港,引力影视投资 英皇发行 五洲电影...,44800000,193000,11000000,31300000,20300000
658695,深夜食堂2,剧情,108,2017/7/18,1,2D,日本,华夏,13900000,30000,4320000,11400000,2630000
640808,绣春刀·修罗战场,动作 古装 悬疑,120,2017/7/19,1,2D,中国,影联传媒 华夏,266000000,3970000,34800000,176000000,87000000
